title,link
Onion price soars to Tk70 per kg,https://www.tbsnews.net/economy/bazaar/onion-price-soared-tk70kg-630534
Impact of duty exemption: Wholesale prices of consumer goods decline,https://www.tbsnews.net/economy/bazaar/impact-duty-exemption-wholesale-prices-consumer-goods-decline-1025066
"Govt to sell low-priced milk, egg, meat in capital during Ramadan",https://www.tbsnews.net/economy/bazaar/ministry-sell-meat-eggs-lower-prices-dhaka-during-ramadan-603102
"Green chilli hottest ever at Tk800-1,000 a kg",https://www.tbsnews.net/economy/bazaar/green-chilli-price-soars-tk1000-kg-brahmanbaria-658438
"Potato, onion prices increase by Tk10 after Eid",https://www.tbsnews.net/economy/bazaar/potato-onion-prices-increase-tk10-after-eid-831951
"Govt to sell beef for Tk600 per kg, eggs for Tk10 each from 10 March",https://www.tbsnews.net/economy/bazaar/govt-sell-meats-eggs-reasonable-prices-10-march-803078
"Onion now Tk140 per kg, more than double govt-set price",https://www.tbsnews.net/economy/bazaar/onion-now-tk140kg-after-tk30-hike-week-732306
"Prices of spices, dry foods soar as assessment value hiked in 5 products",https://www.tbsnews.net/bangladesh/prices-spices-dry-foods-soar-assessment-value-hiked-5-products-672810
Potato prices may rise above Tk50/kg this year: Cold Storage Association,https://www.tbsnews.net/economy/bazaar/potato-prices-may-rise-above-tk50kg-year-cold-storage-association-817571
"TCB can import or procure essential products through DPR up to June, 2025",https://www.tbsnews.net/economy/bazaar/tcb-can-import-or-procure-essential-products-through-dpr-june-2025-851936
Govt cuts palm oil and sugar prices ,https://www.tbsnews.net/economy/bazaar/govt-cuts-palm-oil-and-sugar-prices-501326
Consumers struggle with inflation in Dhaka kitchen markets,https://www.tbsnews.net/economy/bazaar/consumers-struggle-inflation-dhaka-kitchen-markets-853541
"Onion becomes 33% costlier, prices of other commodities stay high",https://www.tbsnews.net/bangladesh/onion-price-rises-33-other-commodities-stay-high-897986
"Stable sugar supply till January; power, gas crisis hampering production: Tipu Munshi",https://www.tbsnews.net/economy/bazaar/stable-sugar-supply-till-january-power-gas-crisis-hampering-production-tipu-munshi
"Commerce fixes wholesale prices for common, Zahidi dates",https://www.tbsnews.net/economy/bazaar/commerce-ministry-fixes-wholesale-price-common-zahidi-variety-dates-807930
Soybean oil supply to normalise within two days: Commerce adviser,https://www.tbsnews.net/economy/bazaar/soybean-oil-supply-normalise-within-two-days-commerce-adviser-1083311
Price rise continues to hurt low-income group,https://www.tbsnews.net/economy/bazaar/price-rise-continues-hurt-low-income-group-606126
India's export embargo sends onion prices soaring to Tk220 per kg,https://www.tbsnews.net/economy/bazaar/onion-price-nearly-doubles-overnight-tk220-kg-754246
"Govt cuts duties on edible oil, eggs to ease price pressure",https://www.tbsnews.net/markets/govt-cuts-duties-edible-oil-eggs-ease-price-pressure-967981
"Once thriving, now struggling: Hazaribagh's bone trade loses shine",https://www.tbsnews.net/economy/bazaar/once-thriving-now-struggling-hazaribaghs-bone-trade-loses-shine-899646
Commerce ministry will not hold meetings with sugar companies before Eid regarding new prices: Tipu,https://www.tbsnews.net/economy/bazaar/commerce-ministry-will-not-hold-meetings-sugar-companies-eid-regarding-new-prices
"High prices of sacrificial cattle distress buyers, sellers in Ctg",https://www.tbsnews.net/economy/bazaar/high-prices-sacrificial-cattle-distress-buyers-sellers-ctg-651118
Egg prices drop by Tk25-30 per dozen in Dhaka,https://www.tbsnews.net/economy/bazaar/egg-prices-drop-tk150-dozen-dhaka-969701
Mirpur trader fined Tk1 lakh for not selling eggs at govt set rate,https://www.tbsnews.net/economy/bazaar/mirpur-trader-fined-tk1-lakh-not-selling-eggs-govt-set-rate-968446
Khalil to sell beef at Tk595 till 31 March,https://www.tbsnews.net/economy/bazaar/khalil-sell-beef-tk595-till-30-march-814646
Fish prices up as demand soars on limited supply,https://www.tbsnews.net/economy/bazaar/fish-prices-demand-soars-limited-supply-684626
"Egg, chicken, vegetable prices up again",https://www.tbsnews.net/markets/egg-chicken-vegetable-prices-again-497674
Govt now gives permission to import 6 crore eggs,https://www.tbsnews.net/bangladesh/govt-allows-6-more-companies-import-6-crore-eggs-704514
"Blockade disrupts supply chain, sales drop at Khatunganj",https://www.tbsnews.net/bangladesh/blockade-disrupts-supply-chain-sales-drop-khatunganj-730742
How beef at Tk600 will be possible,https://www.tbsnews.net/economy/bazaar/how-beef-tk600-will-be-possible-806034
Green chillies Tk400 per kg in Satkhira markets due to inadequate supply,https://www.tbsnews.net/economy/bazaar/green-chillies-tk400-kg-satkhira-markets-due-inadequate-supply-660426
"Onion at Tk65, eggplant at Tk50, broiler at Tk175: Govt fixes prices of 29 agri products",https://www.tbsnews.net/economy/bazaar/onion-tk65-eggplant-tk50-broiler-tk175-govt-fixes-prices-29-agri-products-809498
Onion market takes heat from India's hefty export duty,https://www.tbsnews.net/economy/bazaar/onion-market-takes-heat-indias-hefty-export-duty-685790
Reduced VAT on edible oil extended to 31 Dec,https://www.tbsnews.net/economy/bazaar/vat-waiver-edible-oil-extended-another-3-months-509486
"1,650 tonnes onions arrive from India by train",https://www.tbsnews.net/economy/bazaar/1650-tonnes-onions-arrive-india-train-819891
"Ctg Teribazar eyes Tk1,500cr sales on eid",https://www.tbsnews.net/economy/bazaar/ctg-teribazar-eyes-tk1500cr-sales-eid-608970
"Govt, refiners at odds over unrefined sugar stock",https://www.tbsnews.net/economy/bazaar/govt-refiners-odds-over-unrefined-sugar-stock-519138
Bottled soybean oil supply still scarce in Dhaka,https://www.tbsnews.net/economy/bazaar/bottled-soybean-oil-supply-still-scarce-dhaka-1020346
Beef price mystery: Why it is not same everywhere?,https://www.tbsnews.net/markets/beef-price-mystery-why-it-not-affordable-everywhere-810602
Chief Adviser's Office shares market situation ahead of Eid,https://www.tbsnews.net/economy/bazaar/chief-advisers-office-shares-market-situation-ahead-eid-1104481
"Import tax cut on rice, oil, sugar, but how will it impact Ramadan market?",https://www.tbsnews.net/economy/bazaar/import-tax-cut-rice-oil-sugar-how-will-it-impact-ramadan-market-789754
Higher import tariffs drive up fruit prices,https://www.tbsnews.net/economy/bazaar/higher-import-tariffs-drive-fruit-prices-745762
"Ramadan supplies ample, yet no hope for price fall",https://www.tbsnews.net/economy/bazaar/ramadan-supplies-ample-yet-no-hope-price-fall-786914
"Cardamom conundrum: Annual demand 8,000 tonnes, daily trade over 1,000 tonnes",https://www.tbsnews.net/economy/bazaar/cardamom-conundrum-annual-demand-8000-tonnes-daily-trade-over-1000-tonnes-843216
Govt says no reason for price hikes; businesses manipulate market citing global crises: CAB,https://www.tbsnews.net/economy/bazaar/govt-says-no-reason-price-hikes-businesses-manipulate-market-citing-global-crises-cab
Keep vigil against dishonest business people during Ramadan: PM asks RAB,https://www.tbsnews.net/bangladesh/keep-vigil-against-dishonest-business-people-during-ramadan-pm-asks-rab-804186
"10 egg firms, trade bodies set to be sued for profiteering ",https://www.tbsnews.net/bangladesh/10-egg-firms-trade-bodies-set-be-sued-profiteering-694906
Rising commodity prices worsen hardships for Dhaka's low-income families,https://www.tbsnews.net/economy/bazaar/rising-commodity-prices-worsen-hardships-dhakas-low-income-families-1015531
Govt agencies working to bring down commodity prices to reasonable level: Titu,https://www.tbsnews.net/economy/bazaar/govt-agencies-working-bring-down-commodity-prices-reasonable-level-titu-810366
Poor sales dim recovery hope for fire-ravaged  Mohammadpur market,https://www.tbsnews.net/economy/bazaar/poor-sales-dim-recovery-hope-fire-ravaged-mohammadpur-market-824456
No shortage of sugar in the country: BB,https://www.tbsnews.net/economy/bazaar/100000-tonnes-sugar-be-imported-soon-bb-518714
Going to the kitchen market? Forget about govt price chart,https://www.tbsnews.net/economy/bazaar/going-kitchen-market-forget-about-govt-price-chart-810262
Broiler price soars by Tk25-30,https://www.tbsnews.net/economy/bazaar/broiler-chicken-price-goes-tk30kg-676902
Commodity prices surge as supply dips amid heatwave,https://www.tbsnews.net/markets/commodity-prices-surge-supply-dips-amid-heatwave-842361
Tk3-4 crore worth of onions sold daily at Shariatpur's Mirashar farmers' market,https://www.tbsnews.net/economy/bazaar/tk3-4-crore-worth-onion-sold-daily-shariatpurs-mirashar-farmers-market-781762
Dhaka South's 5th farmers' market inaugurated in Khilgaon,https://www.tbsnews.net/economy/bazaar/dhaka-souths-5th-farmers-market-inaugurated-khilgaon-525754
"Reduced product prices in global market, freight rate do not affect local market",https://www.tbsnews.net/bangladesh/reduced-product-prices-global-market-freight-rate-do-not-affect-local-market-512970
Govt trying to tackle dishonest traders who destabilise markets,https://www.tbsnews.net/economy/bazaar/govt-trying-tackle-dishonest-traders-who-destabilise-markets-631618
Dohazari vegetable hub picks up steam as winter arrives,https://www.tbsnews.net/economy/bazaar/dohazari-vegetable-hub-picks-steam-winter-arrives-548834
Demand for eggs outpaces supply amid production data mismatch,https://www.tbsnews.net/economy/bazaar/demand-eggs-outpaces-supply-amid-production-data-mismatch-963946
Prices surge ahead of Ramadan despite moves to rein in,https://www.tbsnews.net/economy/bazaar/prices-surge-ahead-ramadan-despite-moves-rein-797954
"Sharp drop in frozen meat, fish imports triggers price hikes in local market",https://www.tbsnews.net/economy/bazaar/sharp-drop-frozen-meat-fish-imports-triggers-price-hikes-local-market-681470
Onion prices keep soaring despite imports,https://www.tbsnews.net/economy/bazaar/onion-prices-keep-soaring-despite-imports-679878
"Food directorate forms 4 vigilance teams to monitor OMS programme, commodity market",https://www.tbsnews.net/economy/bazaar/food-directorate-forms-4-vigilance-teams-monitor-oms-programme-commodity-market
Broiler chicken prices jump by Tk50 per kg ahead of Eid,https://www.tbsnews.net/economy/bazaar/chicken-beef-prices-jump-ahead-eid-620314
"No packaged sugar in market, non-packaged also scanty",https://www.tbsnews.net/economy/bazaar/no-packaged-sugar-market-non-packaged-also-scanty-651214
Fame of Hasu’s chyapa shutki travels far and wide,https://www.tbsnews.net/economy/bazaar/fame-hasus-chyapa-shutki-travels-far-and-wide-493350
Eid shopping picks up as salaries hit accounts,https://www.tbsnews.net/economy/bazaar/eid-shopping-picks-salaries-hit-accounts-613058
"FBCCI president vows to fight extortion, urges fair prices during Ramadan",https://www.tbsnews.net/economy/bazaar/fbcci-president-vows-fight-extortion-urges-fair-prices-during-ramadan-800658
Vegetable prices decline slightly,https://www.tbsnews.net/economy/bazaar/vegetable-prices-decline-slightly-669202
Commerce Minister Tipu Munshi under fire in parliament for runaway prices of essentials,https://www.tbsnews.net/bangladesh/commerce-minister-tipu-munshi-under-fire-parliament-runaway-prices-essentials-656526
Dhaka North’s market monitoring drive. But does it really matter?,https://www.tbsnews.net/economy/bazaar/dhaka-norths-market-monitoring-drive-does-it-really-matter-811154
Buyers happy with declining winter vegetable prices,https://www.tbsnews.net/economy/bazaar/buyers-happy-declining-winter-vegetable-prices-1051426
